name,bytes,bpc,wall,rss_kb,ec,defines
baseline,9165,2.2375,32.02,3473920,0,
drop_word,9178,2.2407,30.94,3431936,0,-DFX2_DROP_WORD=1
drop_match,0,0.0000,31.68,3449344,0,-DFX2_DROP_MATCH=1
lstm_c100,9162,2.2368,18.63,3465728,0,-DFX2_LSTM_CELLS=100
c256_skip01,9166,2.2378,41.74,3478528,0,-DFX2_LSTM_CELLS=256 -DFX2_SKIP_ERR=0.01f
drop_match,9167,2.2380,31.05,3449344,0,-DFX2_DROP_MATCH=1
skip_e001,9164,2.2373,31.52,3473920,0,-DFX2_SKIP_ERR=0.001f
lstm_c150,9164,2.2373,27.44,3469824,0,-DFX2_LSTM_CELLS=150
c256_skip05,9213,2.2493,39.56,3478528,0,-DFX2_LSTM_CELLS=256 -DFX2_SKIP_ERR=0.05f
xor_k6,9682,2.3638,35.42,3473408,0,-DFX2_BOOL_XOR=1
skip_e01,9164,2.2373,32.44,3473920,0,-DFX2_SKIP_ERR=0.01f
lstm_c256,9167,2.2380,47.66,3478528,0,-DFX2_LSTM_CELLS=256
c300_skip01,9166,2.2378,49.80,3482624,0,-DFX2_LSTM_CELLS=300 -DFX2_SKIP_ERR=0.01f
drop_ppm,9217,2.2502,33.46,3472896,0,-DFX2_DROP_PPM=1
walsh4,9777,2.3870,34.56,3473920,0,-DFX2_WALSH4=1
skip_e05,9212,2.2490,36.34,3473920,0,-DFX2_SKIP_ERR=0.05f
xor_k4,9425,2.3010,30.83,3473920,0,-DFX2_BOOL_XOR=1 -DFX2_BOOL_K=4
lstm_c300,9167,2.2380,47.33,3482624,0,-DFX2_LSTM_CELLS=300
l2c100_skip01,9156,2.2354,30.99,3472896,0,-DFX2_LSTM_LAYERS=2 -DFX2_LSTM_CELLS=100 -DFX2_SKIP_ERR=0.01f
drop_halfmix,9223,2.2517,29.08,3455488,0,-DFX2_DROP_HALF_MIX=1
parity8,9244,2.2568,31.99,3473920,0,-DFX2_PARITY8=1
skip_e10,9366,2.2866,32.09,3473920,0,-DFX2_SKIP_ERR=0.10f
xor_k8,10046,2.4526,32.67,3473920,0,-DFX2_BOOL_XOR=1 -DFX2_BOOL_K=8
lstm_h64,9157,2.2356,32.15,3468288,0,-DFX2_LSTM_HORIZON=64
c256_lr05_skip01,9159,2.2361,39.51,3478528,0,-DFX2_LSTM_CELLS=256 -DFX2_LSTM_LR=0.05f -DFX2_SKIP_ERR=0.01f
tiny_lstm,9181,2.2415,12.84,3458560,0,-DFX2_TINY_LSTM=1
delta_k6,9207,2.2478,31.72,3473920,0,-DFX2_DSP_DELTA=1
skip_e20,10089,2.4631,31.91,3473920,0,-DFX2_SKIP_ERR=0.20f
xor_k12,11086,2.7065,37.59,3473408,0,-DFX2_BOOL_XOR=1 -DFX2_BOOL_K=12
lstm_h256,9173,2.2395,32.89,3484672,0,-DFX2_LSTM_HORIZON=256
